Table,Field,IsLinkIDField,LinkedTable_Inferred,Inference,LinkBase
AccountingTemplates,CustomColumns,False,,,
AccountingTemplates,DataType,False,,,
AccountingTemplates,FilePath,False,,,
AccountingTemplates,ID,False,,,
AccountingTemplates,IncludesHeaders,False,,,
AccountingTemplates,LinkID,True,,ambiguous,
AccountingTemplates,LinkIDCategory,True,Categories,prefix-exact,Category
AccountingTemplates,Modified,False,,,
AccountingTemplates,MvColumns,False,,,
AccountingTemplates,Name,False,,,
AccountingTemplates,Type,False,,,
Activities,ActiveTime,False,,,
Activities,ActualEndDate,False,,,
Activities,ActualStartDate,False,,,
Activities,Comments,False,,,
Activities,Completed,False,,,
Activities,CompletionPercentageOverride,False,,,
Activities,Duration,False,,,
Activities,EndDate,False,,,
Activities,GeoLocation,False,,,
Activities,GeoLocationEnd,False,,,
Activities,ID,False,,,
Activities,IsPublicActivity,False,,,
Activities,LagDaysOffset,False,,,
Activities,LinkID,True,,ambiguous,
Activities,LinkIDActivityStation,True,ActivityStations,prefix-exact,ActivityStation
Activities,LinkIDCategory,True,Categories,prefix-exact,Category
Activities,LinkIDDepartment,True,Departments,prefix-exact,Department
Activities,LinkIDParent,True,,prefix-nomatch,Parent
Activities,LinkIDPredecessor,True,,prefix-nomatch,Predecessor
Activities,LinkIDProject,True,Projects,prefix-exact,Project
Activities,LinkIDProjectActivity,True,,prefix-nomatch,ProjectActivity
Activities,LinkIDShift,True,Shifts,prefix-exact,Shift
Activities,LinkIDWorkOrder,True,Workorders,prefix-case,WorkOrder
Activities,Mobile,False,,,
Activities,Modified,False,,,
Activities,Name,False,,,
Activities,Overtime,False,,,
Activities,PredecessorLagDays,False,,,
Activities,PredecessorType,False,,,
Activities,PrintFlag,False,,,
Activities,ScheduledMinutes,False,,,
Activities,SpanProject,False,,,
Activities,StartDate,False,,,
Activities,StartDayOfWeek,False,,,
Activities,TardyFlag,False,,,
Activities,TotalMinutes,False,,,
Activities,Type,False,,,
ActivityStations,Comments,False,,,
ActivityStations,ID,False,,,
ActivityStations,LaborRate,False,,,
ActivityStations,LinkID,True,,ambiguous,
ActivityStations,LinkIDCategory,True,Categories,prefix-exact,Category
ActivityStations,LinkIDParentStation,True,ParentStations,prefix-exact,ParentStation
ActivityStations,LinkIDProcessingStation,True,ProcessingStations,prefix-exact,ProcessingStation
ActivityStations,Modified,False,,,
ActivityStations,Name,False,,,
ActivityStations,NumberOfEmployeesRequired,False,,,
ActivityStations,StationNumber,False,,,
ActivityStations,UnitType,False,,,
ActivityStations,UnitsPerMinuteFactoryTime,False,,,
Attachment,Attachment,False,,,
Attachment,DateCreated,False,,,
Attachment,ID,False,,,
Attachment,LinkID,True,,ambiguous,
Attachment,LinkIDCategory,True,Categories,prefix-exact,Category
Attachment,LinkIDCreator,True,,prefix-nomatch,Creator
Attachment,LinkIDParent,True,,prefix-nomatch,Parent
Attachment,Modified,False,,,
Attachment,Name,False,,,
Attachment,Notes,False,,,
Attachment,Size,False,,,
AutoCADDrawings,Drawing,False,,,
AutoCADDrawings,ID,False,,,
AutoCADDrawings,JPegName,False,,,
AutoCADDrawings,JPegStream,False,,,
AutoCADDrawings,LinkID,True,,ambiguous,
AutoCADDrawings,LinkIDCategory,True,Categories,prefix-exact,Category
AutoCADDrawings,Modified,False,,,
AutoCADDrawings,Name,False,,,
AutoCADDrawings,TiffName,False,,,
AutoCADDrawings,TiffStream,False,,,
AutoCADDrawings,Type,False,,,
AutoCADDrawings,WMFName,False,,,
AutoCADDrawings,WMFStream,False,,,
BiesseMachineSetting,ID,False,,,
BiesseMachineSetting,LinkID,True,,ambiguous,
BiesseMachineSetting,MaximumLength,False,,,
BiesseMachineSetting,MaximumThickness,False,,,
BiesseMachineSetting,MaximumWidth,False,,,
BiesseMachineSetting,MinimumLength,False,,,
BiesseMachineSetting,MinimumThickness,False,,,
BiesseMachineSetting,MinimumWidth,False,,,
BluePrintViews,BlueprintViewType,False,,,
BluePrintViews,ID,False,,,
BluePrintViews,LinkID,True,,ambiguous,
BluePrintViews,LinkIDCategory,True,Categories,prefix-exact,Category
BluePrintViews,LinkIDLocation,True,Locations,prefix-exact,Location
BluePrintViews,LinkIDProject,True,Projects,prefix-exact,Project
BluePrintViews,LinkIDTiffDrawing1,True,,prefix-nomatch,TiffDrawing1
BluePrintViews,LinkIDTiffDrawing2,True,,prefix-nomatch,TiffDrawing2
BluePrintViews,LinkIDTiffDrawing3,True,,prefix-nomatch,TiffDrawing3
BluePrintViews,LinkIDTiffDrawing4,True,,prefix-nomatch,TiffDrawing4
BluePrintViews,LinkIDTiffDrawing5,True,,prefix-nomatch,TiffDrawing5
BluePrintViews,Modified,False,,,
BluePrintViews,Name,False,,,
BluePrintViews,ViewerHeight1,False,,,
BluePrintViews,ViewerHeight2,False,,,
BluePrintViews,ViewerHeight3,False,,,
BluePrintViews,ViewerHeight4,False,,,
BluePrintViews,ViewerHeight5,False,,,
BluePrintViews,ViewerLeft1,False,,,
BluePrintViews,ViewerLeft2,False,,,
BluePrintViews,ViewerLeft3,False,,,
BluePrintViews,ViewerLeft4,False,,,
BluePrintViews,ViewerLeft5,False,,,
BluePrintViews,ViewerTop1,False,,,
BluePrintViews,ViewerTop2,False,,,
BluePrintViews,ViewerTop3,False,,,
BluePrintViews,ViewerTop4,False,,,
BluePrintViews,ViewerTop5,False,,,
BluePrintViews,ViewerWidth1,False,,,
BluePrintViews,ViewerWidth2,False,,,
BluePrintViews,ViewerWidth3,False,,,
BluePrintViews,ViewerWidth4,False,,,
BluePrintViews,ViewerWidth5,False,,,
Breaks,EndTime,False,,,
Breaks,ID,False,,,
Breaks,LinkID,True,,ambiguous,
Breaks,LinkIDCategory,True,Categories,prefix-exact,Category
Breaks,Modified,False,,,
Breaks,Name,False,,,
Breaks,PaidBreak,False,,,
Breaks,StartTime,False,,,
BundleItemSettings,BundleByComment,False,,,
BundleItemSettings,BundleByProduct,False,,,
BundleItemSettings,BundleByRoom,False,,,
BundleItemSettings,BundleBySize,False,,,
BundleItemSettings,BundleLikeItems,False,,,
BundleItemSettings,ID,False,,,
BundleItemSettings,LinkID,True,,ambiguous,
BundleItemSettings,MaxPieceCount,False,,,
BundleItemSettings,Type,False,,,
BundleItems,Comments,False,,,
BundleItems,Depth,False,,,
BundleItems,ID,False,,,
BundleItems,Length,False,,,
BundleItems,LinkID,True,,ambiguous,
BundleItems,LinkIDBundle,True,Bundles,prefix-exact,Bundle
BundleItems,LinkIDItem,True,,prefix-nomatch,Item
BundleItems,LinkIDProduct,True,Products,prefix-exact,Product
BundleItems,LinkIDProject,True,Projects,prefix-exact,Project
BundleItems,LinkIDRoom,True,,prefix-nomatch,Room
BundleItems,LinkIDWorkOrder,True,Workorders,prefix-case,WorkOrder
BundleItems,Name,False,,,
BundleItems,Quantity,False,,,
