Table,LinkIDFieldCount,LinkedTableMatched,LinkedTableUnmatched
Hardware,16,8,8
Parts,16,8,8
ShippingItems,15,8,7
PlacedSheets,14,6,8
Sheets,14,6,8
Edgebanding,13,7,6
Products,12,7,5
SpecificationGroups,11,3,8
Activities,10,6,4
Employees,10,3,7
PurchasedMaterial,10,8,2
WorkOrderActivities,10,7,3
BluePrintViews,9,3,6
Materials,9,3,6
OptimizationResults,9,5,4
ProcessingStations,9,5,4
MaterialCompositions,8,1,7
ReceivedMaterials,8,7,1
BundleItems,7,4,3
OrderLineItems,7,3,4
PurchaseOrders,7,4,3
RealMaterials,7,1,6
ScheduledWorkOrderActivities,7,5,2
Subassemblies,7,4,3
ErrorMessages,6,4,2
HardwareProcessingStations,6,4,2
ProjectWorkOrderActivities,6,5,1
Bundles,5,3,2
Locations,5,3,2
MaterialCheckout,5,4,1
MaterialCostBreaks,5,4,1
Pallets,5,4,1
ProductCosts,5,4,1
ProductPrices,5,4,1
Prompts,5,4,1
ReportGroupItems,5,3,2
SalesOrders,5,2,3
ActivityStations,4,3,1
Attachment,4,1,3
Categories,4,2,2
CutPartsFiles,4,3,1
DoorWizardFiles,4,3,1
EdgebandFiles,4,3,1
FaceFrameImages,4,3,1
FaceFrameImagesParts,4,4,0
FaceFrameImagesSubassemblies,4,4,0
Factory,4,3,1
GlobalFiles,4,3,1
HardwareFiles,4,3,1
NestScrap,4,3,1
PartsProcessingStations,4,3,1
ProductMap,4,3,1
ProductsPrompts,4,4,0
ProjectProperties,4,3,1
ProjectWizardFiles,4,3,1
PromptMap,4,3,1
SawStacks,4,3,1
ShippingTickets,4,1,3
Vendors,4,2,2
Contacts,3,1,2
Correspondence,3,1,2
Departments,3,1,2
DoorLayers,3,2,1
EmployeeSecure,3,2,1
EventLogs,3,0,3
GeneralContacts,3,1,2
Inventory,3,1,2
JoinProducts,3,2,1
Libraries,3,1,2
PlacedSheetsVendors,3,3,0
ProcessingStationAssociates,3,0,3
Projects,3,1,2
ReportDatasets,3,1,2
ScrapOptimizerSizes,3,1,2
SheetSets,3,2,1
StorageGroupItems,3,1,2
StorageGroups,3,1,2
TiffDrawings,3,2,1
ToolFiles,3,2,1
AccountingTemplates,2,1,1
AutoCADDrawings,2,1,1
Breaks,2,1,1
CommonCommandsGrids,2,1,1
EmployeeLogin,2,1,1
Estimates,2,1,1
GlobalImages,2,1,1
Holidays,2,1,1
LabelSettings,2,1,1
Layers,2,1,1
MachiningTokenImages,2,1,1
Macros,2,1,1
MaterialCompositionsRealMaterials,2,2,0
MaterialRendering,2,1,1
MaterialStorageLocations,2,1,1
MaterialsVendors,2,2,0
NestScrapBin,2,1,1
NestingOptimizerSettings,2,1,1
PalletsProducts,2,2,0
ParentStations,2,1,1
PartSettings,2,1,1
ProductGroups,2,1,1
ProductPromptImages,2,1,1
ReceivedMaterialsPurchasedMaterial,2,2,0
ReportExportSettings,2,1,1
ReportGroups,2,1,1
ReportTemplates,2,1,1
SavedViews,2,1,1
SawingOptimizerSettings,2,1,1
ScrapOptimizerSettings,2,1,1
SheetsVendors,2,2,0
Shifts,2,1,1
ShiftsActivityStations,2,2,0
ShiftsBreaks,2,2,0
ShiftsHolidays,2,2,0
TimeClockSettings,2,1,1
UserDefinedTokens,2,1,1
WorkOrderBatches,2,1,1
Workorders,2,1,1
BiesseMachineSetting,1,0,1
BundleItemSettings,1,0,1
Configurations,1,0,1
MicrovellumSystem,1,0,1
